,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
1,China,"81,340",,"3,292 ",,"74,588","3,460","1,034",57,2
2,USA,"102,396","+16,961","1,607 ",+312,"2,471","98,318","2,463",309,5
3,Italy,"86,498","+5,909","9,134 ",+919,"10,950","66,414","3,732","1,431",151
4,Spain,"65,719","+7,933","5,138 ",+773,"9,357","51,224","4,165","1,406",110
5,Germany,"50,871","+6,933",351 ,+84,"6,658","43,862","1,581",607,4
6,France,"32,964","+3,809","1,995 ",+299,"5,700","25,269","3,787",505,31
7,Iran,"32,332","+2,926","2,378 ",+144,"11,133","18,821","2,893",385,28
8,UK,"14,543","+2,885",759 ,+181,135,"13,649",163,214,11
9,Switzerland,"12,928","+1,117",231 ,+39,"1,530","11,167",203,"1,494",27
10,S. Korea,"9,332",+91,139 ,+8,"4,528","4,665",59,182,3
11,Netherlands,"8,603","+1,172",546 ,+112,3,"8,054",761,502,32
12,Austria,"7,697",+788,58 ,+9,225,"7,414",128,855,6
13,Belgium,"7,284","+1,049",289 ,+69,858,"6,137",690,628,25
14,Turkey,"5,698","+2,069",92 ,+17,42,"5,564",241,68,1
15,Canada,"4,757",+714,55 ,+16,354,"4,348",120,126,1
16,Portugal,"4,268",+724,76 ,+16,43,"4,149",71,419,7
17,Norway,"3,755",+383,19 ,+5,6,"3,730",70,693,4
18,Brazil,"3,417",+432,92 ,+15,6,"3,319",296,16,0.4
19,Australia,"3,180",+130,13 ,,170,"2,997",23,125,0.5
20,Sweden,"3,069",+229,105 ,+28,16,"2,948",214,304,10
21,Israel,"3,035",+342,12 ,+4,79,"2,944",49,351,1
22,Czechia,"2,279",+354,9 ,,11,"2,259",34,213,0.8
23,Malaysia,"2,161",+130,26 ,+3,259,"1,876",54,67,0.8
24,Ireland,"2,121",+302,22 ,+3,5,"2,094",59,430,4
25,Denmark,"2,046",+169,52 ,+11,1,"1,993",109,353,9
26,Ecuador,"1,627",+224,41 ,+7,3,"1,583",58,92,2
27,Chile,"1,610",+304,5 ,+1,43,"1,562",7,84,0.3
28,Luxembourg,"1,605",+152,15 ,+6,40,"1,550",25,"2,564",24
29,Japan,"1,468",+81,49 ,+2,372,"1,047",56,12,0.4
30,Poland,"1,389",+168,16 ,,7,"1,366",3,37,0.4
31,Pakistan,"1,373",+172,11 ,+2,23,"1,339",7,6,0.05
32,Romania,"1,292",+263,26 ,+3,115,"1,151",32,67,1
33,South Africa,"1,170",+243,1 ,+1,31,"1,138",7,20,0.02
34,Thailand,"1,136",+91,5 ,+1,97,"1,034",11,16,0.07
35,Saudi Arabia,"1,104",+92,3 ,,35,"1,066",6,32,0.09
36,Indonesia,"1,046",+153,87 ,+9,46,913,,4,0.3
37,Finland,"1,041",+83,7 ,+2,10,"1,024",32,188,1
38,Russia,"1,036",+196,4 ,+1,45,987,8,7,0.03
39,Greece,966,+74,28 ,+1,52,886,66,93,3
40,Iceland,890,+88,2 ,,97,791,18,"2,608",6
41,India,887,+160,20 ,,73,794,,0.6,0.01
42,Philippines,803,+96,54 ,+9,31,718,1,7,0.5
43,Singapore,732,+49,2 ,,183,547,17,125,0.3
44,Diamond Princess,712,,10 ,,597,105,15,,
45,Panama,674,,9 ,,2,663,20,156,2
46,Peru,635,+55,11 ,+2,16,608,21,19,0.3
47,Slovenia,632,+70,9 ,+3,10,613,14,304,4
48,Argentina,589,,13 ,+1,72,504,,13,0.3
49,Croatia,586,+91,3 ,,37,546,14,143,0.7
50,Mexico,585,+110,8 ,+2,4,573,1,5,0.06
51,Dominican Republic,581,+93,20 ,+10,3,558,,54,2
52,Estonia,575,+37,1 ,,11,563,7,433,0.8
53,Qatar,562,+13, ,,43,519,6,195,
54,Colombia,539,+48,6 ,,10,523,,11,0.1
55,Egypt,536,+41,30 ,+6,116,390,,5,0.3
56,Serbia,528,+71,8 ,+1,42,478,25,60,0.9
57,Hong Kong,518,+64,4 ,,111,403,5,69,0.5
58,Bahrain,466,+8,4 ,,227,235,1,274,2
59,Iraq,458,+76,40 ,+4,122,296,,11,1.0
60,Algeria,409,+42,26 ,+1,29,354,,9,0.6
61,UAE,405,+72,2 ,,52,351,2,41,0.2
62,Lebanon,391,+23,8 ,+2,27,356,3,57,1
63,New Zealand,368,, ,,37,331,1,76,
64,Lithuania,358,+59,5 ,+1,1,352,2,132,2
65,Morocco,345,+70,23 ,+12,11,311,1,9,0.6
66,Armenia,329,+39,1 ,,28,300,6,111,0.3
67,Ukraine,310,+114,5 ,,5,300,,7,0.1
68,Hungary,300,+39,10 ,,34,256,6,31,1
69,Bulgaria,293,+29,3 ,,9,281,8,42,0.4
70,Latvia,280,+36, ,,1,279,,148,
71,Slovakia,269,+43, ,,2,267,1,49,
72,Andorra,267,+43,3 ,,1,263,11,"3,456",39
73,Taiwan,267,+15,2 ,,30,235,,11,0.08
74,Costa Rica,263,+32,2 ,,3,258,5,52,0.4
75,Uruguay,238,, ,,,238,3,69,
76,Bosnia and Herzegovina,237,+46,4 ,+1,5,228,1,72,1
77,Jordan,235,+23,1 ,+1,18,216,,23,0.10
78,Tunisia,227,+30,7 ,+2,2,218,10,19,0.6
79,Kuwait,225,+17, ,,57,168,11,53,
80,San Marino,223,+15,21 ,,4,198,12,"6,572",619
81,North Macedonia,219,+18,3 ,,3,213,1,105,1
82,Moldova,199,+22,2 ,+1,2,195,33,49,0.5
83,Albania,186,+12,8 ,+2,31,147,3,65,3
84,Burkina Faso,180,+28,9 ,+2,12,159,,9,0.4
85,Azerbaijan,165,+43,3 ,,15,147,6,16,0.3
86,Vietnam,163,+10, ,,20,143,3,2,
87,Cyprus,162,+16,5 ,+2,15,142,3,134,4
88,Kazakhstan,150,+37,1 ,,3,146,,8,0.05
89,Réunion,145,+10, ,,1,144,,162,
90,Faeroe Islands,144,+4, ,,54,90,2,"2,947",
91,Malta,139,+5, ,,2,137,1,315,
92,MS Zaandam,138,+138,4 ,+4,,134,,,
93,Ghana,137,+5,4 ,,2,131,1,4,0.1
94,Oman,131,+22, ,,23,108,,26,
95,Senegal,119,+14, ,,11,108,,7,
96,Brunei ,115,+1, ,,11,104,1,263,
97,Venezuela,113,+6,2 ,+1,31,80,2,4,0.07
98,Afghanistan,110,+16,4 ,,2,104,,3,0.1
99,Sri Lanka,106,, ,,7,99,5,5,
100,Ivory Coast,101,+5, ,,3,98,,4,
101,Cambodia,99,+1, ,,11,88,1,6,
102,Mauritius,94,+13,2 ,,,92,1,74,2
103,Belarus,94,+8, ,,32,62,2,10,
104,Cameroon,91,+16,2 ,+1,2,87,,3,0.08
105,Palestine,91,+5,1 ,,17,73,,18,0.2
106,Channel Islands,88,+22,1 ,,,87,,506,6
107,Uzbekistan,88,+13,1 ,+1,5,82,8,3,0.03
108,Georgia,83,+4, ,,14,69,1,21,
109,Montenegro,82,+13,1 ,,,81,1,131,2
110,Martinique,81,,1 ,,,80,12,216,3
111,Cuba,80,+13,2 ,,4,74,2,7,0.2
112,Guadeloupe,73,,1 ,,,72,4,182,2
113,Nigeria,70,+5,1 ,,3,66,,0.3,0.00
114,Honduras,68,+1,1 ,,,67,,7,0.1
115,Trinidad and Tobago,66,+1,2 ,+1,1,63,,47,1
116,Bolivia,61,, ,,,61,,5,
117,Kyrgyzstan,58,+14, ,,,58,,9,
118,Liechtenstein,56,, ,,,56,,"1,469",
119,Gibraltar,55,+20, ,,14,41,,"1,632",
120,Rwanda,54,+4, ,,,54,,4,
121,Paraguay,52,+11,3 ,,1,48,1,7,0.4
122,DRC,51,,3 ,,2,46,,0.6,0.03
123,Mayotte,50,+14, ,,,50,,183,
124,Bangladesh,48,+4,5 ,,11,32,1,0.3,0.03
125,Monaco,42,+9, ,,1,41,,"1,070",
126,Macao,34,+1, ,,10,24,,52,
127,Aruba,33,+5, ,,1,32,,309,
128,Kenya,31,,1 ,,1,29,2,0.6,0.02
129,French Polynesia,30,, ,,,30,,107,
130,Isle of Man,29,+3, ,,,29,,341,
131,Guatemala,28,+3,1 ,,4,23,1,2,0.06
132,French Guiana,28,, ,,6,22,,94,
133,Jamaica,26,,1 ,,2,23,,9,0.3
134,Madagascar,26,+3, ,,,26,,0.9,
135,Togo,25,+1,1 ,+1,1,23,,3,0.1
136,Barbados,24,, ,,,24,,84,
137,Uganda,23,+9, ,,,23,,0.5,
138,Zambia,22,+6, ,,,22,,1,
139,Bermuda,17,+2, ,,2,15,,273,
140,Ethiopia,16,+4, ,,,16,,0.1,
141,Maldives,16,+3, ,,9,7,,30,
142,New Caledonia,15,+1, ,,,15,,53,
143,El Salvador,13,, ,,,13,,2,
144,Tanzania,13,, ,,1,12,,0.2,
145,Djibouti,12,+1, ,,,12,,12,
146,Equatorial Guinea,12,, ,,,12,,9,
147,Dominica,11,, ,,,11,,153,
148,Mali,11,+7, ,,,11,,0.5,
149,Mongolia,11,, ,,,11,,3,
150,Saint Martin,11,, ,,,11,,284,
151,Niger,10,,1 ,,,9,,0.4,0.04
152,Bahamas,10,+1, ,,1,9,,25,
153,Greenland,10,+4, ,,2,8,,176,
154,Eswatini,9,+3, ,,,9,,8,
155,Cayman Islands,8,,1 ,,,7,,122,15
156,Curaçao,8,+1,1 ,,2,5,,49,6
157,Guinea,8,+4, ,,,8,,0.6,
158,Haiti,8,, ,,,8,,0.7,
159,Myanmar,8,+3, ,,,8,,0.1,
160,Namibia,8,, ,,2,6,,3,
161,Suriname,8,, ,,,8,,14,
162,Gabon,7,,1 ,,,6,,3,0.4
163,Antigua and Barbuda,7,, ,,,7,,71,
164,Grenada,7,, ,,,7,,62,
165,Mozambique,7,, ,,,7,,0.2,
166,Seychelles,7,, ,,,7,,71,
167,Benin,6,, ,,,6,,0.5,
168,Eritrea,6,, ,,,6,,2,
169,Laos,6,, ,,,6,,0.8,
170,Cabo Verde,5,,1 ,,,4,,9,2
171,Guyana,5,,1 ,,,4,,6,1
172,Zimbabwe,5,+2,1 ,,,4,,0.3,0.07
173,Fiji,5,, ,,,5,,6,
174,Montserrat,5,, ,,,5,,"1,002",
175,St. Barth,5,+2, ,,,5,,506,
176,Syria,5,, ,,,5,,0.3,
177,Nepal,4,+1, ,,1,3,,0.1,
178,Angola,4,, ,,,4,,0.1,
179,Congo,4,, ,,,4,,0.7,
180,Vatican City,4,, ,,,4,,"4,994",
181,Gambia,3,,1 ,,,2,,1,0.4
182,Sudan,3,,1 ,,,2,,0.07,0.02
183,Bhutan,3,+1, ,,,3,,4,
184,CAR,3,, ,,,3,,0.6,
185,Chad,3,, ,,,3,,0.2,
186,Liberia,3,, ,,,3,,0.6,
187,Mauritania,3,, ,,,3,,0.6,
188,Saint Lucia,3,, ,,1,2,,16,
189,Sint Maarten,3,, ,,,3,,70,
190,Somalia,3,+1, ,,,3,,0.2,
191,Nicaragua,2,,1 ,+1,,1,,0.3,0.2
192,Anguilla,2,, ,,,2,,133,
193,Belize,2,, ,,,2,,5,
194,British Virgin Islands,2,, ,,,2,,66,
195,Guinea-Bissau,2,, ,,,2,,1,
196,Saint Kitts and Nevis,2,, ,,,2,,38,
197,Turks and Caicos,2,, ,,,2,,52,
198,Libya,1,, ,,,1,,0.1,
199,Papua New Guinea,1,, ,,,1,,0.1,
200,St. Vincent Grenadines,1,, ,,,1,,9,
201,Timor-Leste,1,, ,,,1,,0.8,
202,Total:,"594,344","62,479","27,251","3,178","132,622","434,471","23,663",76.2,3.5
